"Site Crawled","https://dunhamlaw.com/"
"Non-Indexable Page Inlinks Only","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","1548","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","1548","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","1216","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1216","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","1216","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","1216","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","1216","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","1216","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","1216","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","1216","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","1570","100.00%","1570","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","1570","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","1570","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","1570","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","1570","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","1570","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","1570","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","1570","Internal HTML/XML pages"
""
"PageSpeed"
"All","1216","100.00%","1216","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","1216","Internal HTML URLs with 2xx response"
"LCP Request Discovery","288","23.68%","1216","Internal HTML URLs with 2xx response"
"Render Blocking Requests","901","74.10%","1216","Internal HTML URLs with 2xx response"
"Network Dependency Tree","1448","100.00%","1216","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","907","74.59%","1216","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","664","54.61%","1216","Internal HTML URLs with 2xx response"
"Optimize DOM Size","795","65.38%","1216","Internal HTML URLs with 2xx response"
"Improve Image Delivery","616","50.66%","1216","Internal HTML URLs with 2xx response"
"Forced Reflow","504","41.45%","1216","Internal HTML URLs with 2xx response"
"Legacy JavaScript","2","0.16%","1216","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","1216","Internal HTML URLs with 2xx response"
"Font Display","2","0.16%","1216","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","1216","Internal HTML URLs with 2xx response"
"Minify CSS","421","34.62%","1216","Internal HTML URLs with 2xx response"
"Minify JavaScript","1","0.08%","1216","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","1170","96.22%","1216","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","694","57.07%","1216","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","26","2.14%","1216","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","47","3.87%","1216","Internal HTML URLs with 2xx response"
"Request Errors","45","3.70%","1216","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","1216","100.00%","1216",""
"Viewport Not Set","0","0.00%","1216",""
"Target Size","0","0.00%","1216",""
"Content Not Sized Correctly","0","0.00%","1216",""
"Illegible Font Size","0","0.00%","1216",""
"Contains Unsupported Plugins","0","0.00%","1216",""
"Mobile Alternate Link","0","0.00%","1216",""
""
"Accessibility"
"All","1216","100.00%","1216",""
"Accessibility Score Poor","0","0.00%","1216",""
"Accessibility Score Needs Improvement","0","0.00%","1216",""
"Accessibility Score Good","0","0.00%","1216",""
"WCAG 2.0 A Violation","0","0.00%","1216",""
"WCAG 2.0 AA Violation","0","0.00%","1216",""
"WCAG 2.0 AAA Violation","0","0.00%","1216",""
"WCAG 2.1 AA Violation","0","0.00%","1216",""
"WCAG 2.2 AA Violation","0","0.00%","1216",""
"Best Practice Violation","0","0.00%","1216",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","1216",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","1216",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","1216",""
"Scrollable Region Requires Keyboard Access","0","0.00%","1216",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","1216",""
"Required ARIA Attributes Must Be Provided","0","0.00%","1216",""
"Role=text Should Have No Focusable Descendants","0","0.00%","1216",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","1216",""
"ARIA Attributes Require Valid Values","0","0.00%","1216",""
"ARIA Attributes Require Valid Names","0","0.00%","1216",""
"ARIA Commands Require Accessible Name","0","0.00%","1216",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","1216",""
"ARIA Input Fields Require Accessible Name","0","0.00%","1216",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","1216",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","1216",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","1216",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","1216",""
"ARIA Roles Require Valid Values","0","0.00%","1216",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","1216",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","1216",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","1216",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","1216",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","1216",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","1216",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","1216",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","1216",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","1216",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","1216",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","1216",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","1216",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","1216",""
"Page Requires One Main Landmark","0","0.00%","1216",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","1216",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","1216",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","1216",""
"Page Requires At Most One Main Landmark","0","0.00%","1216",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","1216",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","1216",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","1216",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","1216",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","1216",""
"Form <input> Elements Require Labels","0","0.00%","1216",""
"Form Elements Should Have Visible Label","0","0.00%","1216",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","1216",""
"Frames Require Title Attribute","0","0.00%","1216",""
"Frames Require Unique Title Attribute","0","0.00%","1216",""
"Frames Should Be Tested With axe-core","0","0.00%","1216",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","1216",""
"Page Must Contain <title>","0","0.00%","1216",""
"Page Must Contain <h1>","0","0.00%","1216",""
"Heading Levels Should Only Increase By One","0","0.00%","1216",""
"Headings Should Not Be Empty","0","0.00%","1216",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","1216",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","1216",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","1216",""
"HTML Element Requires Lang Attribute","0","0.00%","1216",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","1216",""
"Lang Attribute Requires Valid Value","0","0.00%","1216",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","1216",""
"Timed Meta Refresh Must Not Exist","0","0.00%","1216",""
"Image Button Requires Alternate Text","0","0.00%","1216",""
"Images Require Alternate Text","0","0.00%","1216",""
"<object> Elements Require Alternate Text","0","0.00%","1216",""
"Active <area> Elements Require Alternate Text","0","0.00%","1216",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","1216",""
"Elements Marked role=img Require Alternate Text","0","0.00%","1216",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","1216",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","1216",""
"<video> Elements Require <track> For Captions","0","0.00%","1216",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","1216",""
"Buttons Require Discernible Text","0","0.00%","1216",""
"Input Buttons Require Discernible Text","0","0.00%","1216",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","1216",""
"Links Must Be Distinguishable","0","0.00%","1216",""
"Links Require Discernible Text","0","0.00%","1216",""
"Links With Same Accessible Name","0","0.00%","1216",""
"Select Element Requires Accessible Name","0","0.00%","1216",""
"Summary Elements Require Discernible Text","0","0.00%","1216",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","1216",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","1216",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","1216",""
"Text Requires Higher Color Contrast to Background","0","0.00%","1216",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","1216",""
"Interactive Controls Must Not Be Nested","0","0.00%","1216",""
"List Items Must Be Contained In List Elements","0","0.00%","1216",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","1216",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","1216",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","1216",""
"<th> Element Requires Associated Data Cells","0","0.00%","1216",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","1216",""
"Table Headers Require Discernible Text","0","0.00%","1216",""
"Table With Identical Summary & Caption Text","0","0.00%","1216",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","1216",""
""
"Custom Search"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in HTML","0","0.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in Page Text","0","0.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in Content Area","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1772","100.00%","1772","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1548","100.00%","1548","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1548","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1548","100.00%","1548","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","1548","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2104","100.00%","2104","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2104","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2104","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2104","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2104","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2104","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2104","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2104","Internal URLs with 2xx response"
"HTML Document Over 15MB","0","0.00%","2104","Internal URLs with 2xx response"
"Resource Over 15MB","0","0.00%","2104","Internal URLs with 2xx response"
"High Carbon Rating","18","0.86%","2104","Internal URLs with 2xx response"
""
"Link Metrics"
"All","1549","100.00%","1549","Internal HTML/PDF pages"
""
"AI"
"All","1772","100.00%","1772","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.08%","1216","Internal HTML pages with 2xx response"
"1","1167","95.97%","1216","Internal HTML pages with 2xx response"
"2","41","3.37%","1216","Internal HTML pages with 2xx response"
"3","0","0.00%","1216","Internal HTML pages with 2xx response"
"4","0","0.00%","1216","Internal HTML pages with 2xx response"
"5","0","0.00%","1216","Internal HTML pages with 2xx response"
"6","0","0.00%","1216","Internal HTML pages with 2xx response"
"7","0","0.00%","1216","Internal HTML pages with 2xx response"
"8","0","0.00%","1216","Internal HTML pages with 2xx response"
"9","0","0.00%","1216","Internal HTML pages with 2xx response"
"10+","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.dunhamlaw.com/","1216","100.00%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/injury-lawyers/","1177","96.79%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/possession/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/criminal-investigations-and-procedures/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/crimes-against-children-in-texas/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/domestic-violence/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/payments/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/adult-sexual-abuse/human-trafficking-crimes/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/misdemeanors/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/felonies/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/dwi/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/theft/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/assault/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/crimes-against-the-family/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/sending-and-receiving-explicit-photos/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/online-solicitation-of-a-minor/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/alexander-hinshaw/","891","73.27%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/benjamin-griffin/","891","73.27%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/bohumila-jones-attorney/","891","73.27%","1216","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2087","99.19%"
"2","6","0.29%"
"3","2","0.10%"
"4","2","0.10%"
"5","3","0.14%"
"6","0","0.00%"
"7","0","0.00%"
"8","0","0.00%"
"9","0","0.00%"
"10","0","0.00%"
"11","4","0.19%"
